date,close,high,low,volume,code
2017-08-31 13:55,8.83,8.83,8.8,1060.0,000529
2017-08-31 14:00,8.85,8.85,8.8,404.0,000529
2017-08-31 14:05,8.86,8.86,8.84,295.0,000529
2017-08-31 14:10,8.87,8.87,8.83,487.0,000529
2017-08-31 14:15,8.86,8.88,8.86,161.0,000529
2017-08-31 14:20,8.86,8.87,8.84,693.0,000529
2017-08-31 14:25,8.85,8.86,8.84,275.0,000529
2017-08-31 14:30,8.85,8.86,8.83,262.0,000529
2017-08-31 14:35,8.85,8.85,8.83,248.0,000529
2017-08-31 14:40,8.86,8.86,8.85,112.0,000529
2017-08-31 14:45,8.85,8.86,8.84,540.0,000529
2017-08-31 14:50,8.87,8.87,8.84,434.0,000529
2017-08-31 14:55,8.86,8.87,8.84,1015.0,000529
2017-08-31 15:00,8.85,8.86,8.85,999.0,000529
2017-09-01 09:35,8.87,8.92,8.81,865.0,000529
2017-09-01 09:40,8.83,8.87,8.82,477.0,000529
2017-09-01 09:45,8.82,8.84,8.8,1020.0,000529
2017-09-01 09:50,8.81,8.84,8.8,1080.0,000529
2017-09-01 09:55,8.82,8.83,8.8,1061.0,000529
2017-09-01 10:00,8.82,8.82,8.81,455.0,000529
2017-09-01 10:05,8.82,8.84,8.82,1237.0,000529
2017-09-01 10:10,8.85,8.85,8.82,687.0,000529
2017-09-01 10:15,8.83,8.84,8.82,770.0,000529
2017-09-01 10:20,8.85,8.85,8.83,717.0,000529
2017-09-01 10:25,8.85,8.86,8.84,356.0,000529
2017-09-01 10:30,8.84,8.86,8.83,374.0,000529
2017-09-01 10:35,8.83,8.85,8.83,636.0,000529
2017-09-01 10:40,8.83,8.85,8.83,673.0,000529
2017-09-01 10:45,8.82,8.85,8.82,743.0,000529
2017-09-01 10:50,8.83,8.83,8.81,381.0,000529
2017-09-01 10:55,8.83,8.83,8.81,589.0,000529
2017-09-01 11:00,8.83,8.83,8.82,426.0,000529
2017-09-01 11:05,8.84,8.84,8.82,357.0,000529
2017-09-01 11:10,8.87,8.88,8.83,1398.0,000529
2017-09-01 11:15,8.87,8.89,8.86,836.0,000529
2017-09-01 11:20,8.88,8.88,8.86,533.0,000529
2017-09-01 11:25,8.88,8.89,8.87,492.0,000529
2017-09-01 11:30,8.87,8.88,8.87,110.0,000529
2017-09-01 13:05,8.89,8.89,8.87,653.0,000529
2017-09-01 13:10,8.88,8.9,8.88,241.0,000529
2017-09-01 13:15,8.88,8.88,8.87,146.0,000529
2017-09-01 13:20,8.87,8.88,8.87,272.0,000529
2017-09-01 13:25,8.88,8.88,8.87,319.0,000529
2017-09-01 13:30,8.88,8.88,8.87,246.0,000529
2017-09-01 13:35,8.88,8.88,8.87,553.0,000529
2017-09-01 13:40,8.88,8.88,8.87,278.0,000529
2017-09-01 13:45,8.88,8.88,8.87,372.0,000529
2017-09-01 13:50,8.88,8.89,8.87,416.0,000529
2017-09-01 13:55,8.87,8.89,8.87,415.0,000529
2017-09-01 14:00,8.88,8.88,8.87,483.0,000529
2017-09-01 14:05,8.87,8.88,8.87,475.0,000529
2017-09-01 14:10,8.86,8.87,8.86,281.0,000529
2017-09-01 14:15,8.87,8.87,8.86,607.0,000529
2017-09-01 14:20,8.87,8.88,8.87,205.0,000529
2017-09-01 14:25,8.86,8.88,8.86,322.0,000529
2017-09-01 14:30,8.85,8.87,8.85,871.0,000529
2017-09-01 14:35,8.83,8.86,8.83,807.0,000529
2017-09-01 14:40,8.84,8.85,8.83,450.0,000529
2017-09-01 14:45,8.85,8.85,8.83,1397.0,000529
2017-09-01 14:50,8.83,8.85,8.83,889.0,000529
2017-09-01 14:55,8.84,8.84,8.81,2335.0,000529
2017-09-01 15:00,8.84,8.84,8.84,501.0,000529
2017-09-04 09:35,8.86,8.89,8.8,1970.0,000529
2017-09-04 09:40,8.84,8.88,8.84,376.0,000529
2017-09-04 09:45,8.84,8.85,8.83,888.0,000529
2017-09-04 09:50,8.82,8.85,8.81,667.0,000529
